riga,colonna,x,y
0,0,99.96584,-0.6381787917730524
0,0,100.9301,-0.5766148856010852
0,0,102.8585,-0.6168388311683022
0,0,103.8228,-0.658402399813128
0,0,105.7512,-0.6384138133656169
0,0,106.7155,-0.5787007022350856
0,0,108.6439,-0.5855280794990503
0,0,109.6082,-0.6347474765216289
0,0,111.5366,-0.6046294594346354
0,0,112.5009,-0.4305254636637116
0,0,114.4293,-0.34535363851875783
0,0,115.3936,-0.22864779119161627
0,0,117.322,-0.18673169015794377
0,0,118.2863,-0.1250737753489515
0,0,120.2147,-0.09333998481308484
0,0,121.179,0.027043950437673252
0,0,123.1074,0.12188103857679464
0,0,124.0717,0.21831039800553376
0,0,126.0001,0.19779301297475424
0,0,126.9644,0.2393859593186514
0,0,128.8929,0.36925889136915546
0,0,129.8571,0.7010800023695228
0,0,131.7856,0.7377492463492182
0,0,132.7498,0.6206908666332316
0,0,134.6783,0.6015366068393196
0,0,135.6425,0.6837941642364896
0,0,137.571,0.7426670731736075
0,0,138.5352,0.8413408888113258
0,0,140.4637,0.9129813457644468
0,0,141.4279,1.1578562185960068
0,0,143.3564,1.3205440405081663
0,0,144.3206,1.6774419554350433
0,0,146.2491,1.88435496552781
0,0,147.2133,2.2370224917885464
0,0,149.1418,2.401819632493962
0,0,150.106,2.579725102524599
0,0,152.0345,2.5491076645534085
0,0,152.9987,2.321518629854883
0,0,154.9272,2.1964283872130435
0,0,155.8914,1.9248491859264738
0,0,157.8199,1.7920208573494878
0,0,158.7841,1.5407122684215049
0,0,160.7126,1.4229840771667137
0,0,161.6768,1.2215059414019744
0,0,163.6053,1.1193655572739452
0,0,164.5695,0.8525455432367828
0,0,166.498,0.6994759800002782
0,0,167.4622,0.46412535720734827
0,0,169.3907,0.3894883749490437
0,0,170.3549,0.2784700501619351
0,0,172.2834,0.25019107703675236
0,0,173.2476,0.18677637582334758
0,0,175.1761,0.13352635848830907
0,0,176.1403,0.01122699725815962
0,0,178.0688,-0.02503683447436388
0,0,179.033,-0.055666023525181234
0,0,180.9615,-0.06957342626511778
0,0,181.9257,-0.10261158663970919
0,0,183.8542,-0.10768805303907725
0,0,184.8184,-0.04160585675008012
0,0,186.7469,-0.02118835589613998
0,0,187.7111,-0.12158370469938523
0,0,189.6396,-0.21503416544238363
0,0,190.6038,-0.30957747659080276
0,0,192.5323,-0.29893099844768234
0,0,193.4965,-0.3017747597176996
0,0,195.425,-0.31527087467065007
0,0,196.3892,-0.3548308842388736
0,0,198.3177,-0.3911240936704685
0,0,199.2819,-0.45312278978867726
0,0,201.2104,-0.43335747385410034
0,0,202.1746,-0.2993775394735541
0,0,204.1031,-0.2479254373216231
0,0,205.0673,-0.17775386532202334
0,0,206.9958,-0.1616666373110629
0,0,207.96,-0.20244875916061636
0,0,209.8885,-0.21777216699574728
0,0,210.8527,-0.15594386153214593
0,0,212.7812,-0.10281723053320227
0,0,213.7454,-0.08029628642582053
0,0,215.6739,-0.11989742477274239
0,0,216.6381,-0.013291630386011721
0,0,218.5666,0.18974352342945974
0,0,219.5308,0.5030860617145355
0,0,221.4593,0.5699908335775049
0,0,222.4235,0.6781830237140407
0,0,224.352,0.7917337061610181
0,0,225.3162,1.1160635038984308
0,0,227.2447,1.2479458705653497
0,0,228.2089,1.4639365896708763
0,0,230.1374,1.5433092570193307
0,0,231.1016,1.663746072128414
0,0,233.0301,1.6648624246930903
0,0,233.9943,1.4423733585531886
0,0,235.9228,1.2713775233439146
0,0,236.887,0.8813826926443052
0,0,238.8155,0.6710912471584402
0,0,239.7797,0.32496907225059296
0,0,241.7082,0.18873293058143722
0,0,242.6724,-0.01565359739127323
0,0,244.6009,-0.07185901125279534
0,0,245.5651,-0.1428414077467388
0,0,247.4936,-0.16008024156126113
0,0,248.4578,-0.18372928931294763
0,0,250.3863,-0.21252530994177016
0,0,251.3505,-0.30945409025470627
0,0,253.279,-0.3461292097742159
0,0,254.2432,-0.3795786579357935
0,0,256.1717,-0.4000372875684336
0,0,257.1359,-0.5024890753066079
0,0,259.0644,-0.534058350727678
0,0,260.0286,-0.43217649035147043
0,0,261.9571,-0.35015983008667745
0,0,262.9213,-0.29011181318674406
0,0,264.8498,-0.31356696812456436
0,0,265.814,-0.34322081756624484
0,0,267.7425,-0.34812101777119125
0,0,268.7067,-0.3525805524900801
0,0,270.6352,-0.34782136524067303
0,0,271.5994,-0.3265577866535035
0,0,273.5279,-0.3092836996000989
0,0,274.4921,-0.2710104332511572
0,0,276.4206,-0.26021706661268645
0,0,277.3849,-0.2583016406332951
0,0,279.3133,-0.2544825397541409
0,0,280.2776,-0.2571852880686189
0,0,282.206,-0.2295937531016834
0,0,283.1703,-0.02830951015080851
0,0,285.0987,0.060328883484456024
0,0,286.063,0.04871881681182727
0,0,287.9914,-0.0007649795023855586
0,0,288.9557,-0.010959041079819933
0,0,290.8841,0.027349478508004052
0,0,291.8484,0.11144020432716892
0,0,293.7768,0.17652355884777207
0,0,294.7411,0.2473355646871065
0,0,296.6695,0.23819322473639293
0,0,297.6338,0.21581329358454887
0,0,299.5622,0.22175346433658746
0,0,300.5265,0.2594509277837482
0,0,302.4549,0.27872269837394076
0,0,303.4192,0.3249220679320804
0,0,305.3476,0.32979289043795534
0,0,306.3119,0.2716661750572276
0,0,308.2403,0.25809955362650755
0,0,309.2046,0.34704347533210456
0,0,311.133,0.38840140008343893
0,0,312.0973,0.33313019705235536
0,0,314.0257,0.269169070636241
0,0,314.99,0.15710489976222589
0,0,316.9184,0.10999482153290481
0,0,317.8827,0.08308484918440057
0,0,319.8111,0.12961324897212978
0,0,320.7754,0.20057801884663043
0,0,322.7038,0.1880689945824471
0,0,323.6681,0.20314562974538503
0,0,325.5965,0.26459202512106994
0,0,326.5608,0.4390133000419548
0,0,328.4892,0.5119463757541737
0,0,329.4535,0.6479181181316952
0,0,331.3819,0.6513611844627489
0,0,332.3462,0.46367294064166387
0,0,334.2746,0.3707042741634196
0,0,335.2389,0.2084394911178747
