nome,x,y
Nontronite,281.2798,4023.505
Nontronite,281.7619,4115.557
Nontronite,282.244,4173.199
Nontronite,282.7261,4198.152
Nontronite,283.2082,4201.866
Nontronite,283.6903,4183.307
Nontronite,284.1725,4147.312
Nontronite,284.6546,4103.191
Nontronite,285.1367,4050.659
Nontronite,285.6188,3972.473
Nontronite,286.1009,3855.361
Nontronite,286.583,3706.977
Nontronite,287.0652,3559.738
Nontronite,287.5473,3415.814
Nontronite,288.0294,3267.848
Nontronite,288.5115,3103.687
Nontronite,288.9936,2925.053
Nontronite,289.4757,2753.044
Nontronite,289.9579,2592.182
Nontronite,290.44,2442.753
Nontronite,290.9221,2306.334
Nontronite,291.4042,2184.193
Nontronite,291.8863,2059.0
Nontronite,292.3684,1903.385
Nontronite,292.8506,1726.56
Nontronite,293.3327,1566.614
Nontronite,293.8148,1439.069
Nontronite,294.2969,1332.663
Nontronite,294.779,1222.64
Nontronite,295.2611,1108.564
Nontronite,295.7433,999.71
Nontronite,296.2254,904.7373
Nontronite,296.7075,819.792
Nontronite,297.1896,736.499
Nontronite,297.6717,644.0332
Nontronite,298.1538,556.9502
Nontronite,298.636,506.2969
Nontronite,299.1181,488.7734
Nontronite,299.6002,470.5693
Nontronite,300.0823,422.9756
Nontronite,300.5644,356.3516
Nontronite,301.0465,288.6875
Nontronite,301.5287,219.6035
Nontronite,302.0108,157.8379
Nontronite,302.4929,117.5527
Nontronite,302.975,95.94629
Nontronite,303.4571,78.94824
Nontronite,303.9392,57.35254
Nontronite,304.4214,34.35449
Nontronite,304.9035,14.31641
Nontronite,305.3856,0.665039
Nontronite,305.8677,13.03516
Nontronite,306.3498,38.1084
Nontronite,306.8319,69.54199
Nontronite,307.3141,89.88477
Nontronite,307.7962,86.69629
Nontronite,308.2783,68.20508
Nontronite,308.7604,36.42969
Nontronite,309.2425,22.0498
Nontronite,309.7246,61.64746
Nontronite,310.2068,30.79492
Nontronite,310.6889,44.53027
Nontronite,311.171,97.21973
Nontronite,311.6531,70.84766
Nontronite,312.1352,24.16504
Nontronite,312.6173,2.617188
Nontronite,313.0995,22.41895
Nontronite,313.5816,42.00879
Nontronite,314.0637,43.05664
Nontronite,314.5458,30.33008
Nontronite,315.0279,12.93848
Nontronite,315.51,18.57422
Nontronite,315.9922,44.18262
Nontronite,316.4743,48.71094
Nontronite,316.9564,23.4375
Nontronite,317.4385,7.0625
Nontronite,317.9206,18.24121
Nontronite,318.4027,44.65234
Nontronite,318.8849,68.51074
Nontronite,319.367,86.03516
Nontronite,319.8491,100.0068
Nontronite,320.3312,112.1582
Nontronite,320.8133,124.1309
Nontronite,321.2954,129.5752
Nontronite,321.7776,118.4678
Nontronite,322.2597,101.8398
Nontronite,322.7418,91.46484
Nontronite,323.2239,90.39746
Nontronite,323.706,99.01367
Nontronite,324.1881,124.9346
Nontronite,324.6703,171.2246
Nontronite,325.1524,196.9961
Nontronite,325.6345,181.1309
Nontronite,326.1166,153.0967
Nontronite,326.5987,136.4795
Nontronite,327.0808,143.5938
Nontronite,327.563,147.7939
Nontronite,328.0451,144.4482
Nontronite,328.5272,134.0566
Nontronite,329.0093,126.8174
Nontronite,329.4914,122.7227
Nontronite,329.9735,121.8721
Nontronite,330.4557,123.6328
Nontronite,330.9378,122.3896
Nontronite,331.4199,135.2695
Nontronite,331.902,176.8711
Nontronite,332.3841,235.917
Nontronite,332.8662,253.8555
Nontronite,333.3484,208.918
Nontronite,333.8305,155.5439
Nontronite,334.3126,121.5029
Nontronite,334.7947,108.9033
Nontronite,335.2768,112.2383
Nontronite,335.7589,140.3564
Nontronite,336.2411,179.1963
Nontronite,336.7232,190.2295
Nontronite,337.2053,163.5459
Nontronite,337.6874,137.665
Nontronite,338.1695,134.9863
Nontronite,338.6516,160.001
Nontronite,339.1338,165.3379
Nontronite,339.6159,141.8564
Nontronite,340.098,111.6982
Nontronite,340.5801,118.7422
Nontronite,341.0622,167.8604
Nontronite,341.5443,210.1396
Nontronite,342.0265,222.3711
Nontronite,342.5086,207.9746
Nontronite,342.9907,197.9209
Nontronite,343.4728,191.2295
Nontronite,343.9549,192.9287
Nontronite,344.437,217.8418
Nontronite,344.9192,262.4248
Nontronite,345.4013,293.0518
Nontronite,345.8834,287.6816
Nontronite,346.3655,262.3125
Nontronite,346.8476,259.7559
Nontronite,347.3297,280.3926
Nontronite,347.8119,310.626
Nontronite,348.294,338.3818
Nontronite,348.7761,365.5918
Nontronite,349.2582,397.1904
Nontronite,349.7403,435.3662
Nontronite,350.2225,478.6104
Nontronite,350.7046,531.2432
Nontronite,351.1867,591.3574
Nontronite,351.6688,640.4238
Nontronite,352.1509,656.7266
Nontronite,352.6331,655.7529
Nontronite,353.1152,659.4268
Nontronite,353.5973,670.0566
Nontronite,354.0794,691.3096
Nontronite,354.5615,733.9238
Nontronite,355.0436,791.4736
Nontronite,355.5258,844.4189
Nontronite,356.0079,889.0127
Nontronite,356.49,920.4287
Nontronite,356.9721,932.5586
Nontronite,357.4542,921.1543
Nontronite,357.9363,901.6807
Nontronite,358.4185,869.6309
Nontronite,358.9006,836.7451
Nontronite,359.3827,823.3711
Nontronite,359.8648,864.665
Nontronite,360.3469,905.8896
Nontronite,360.829,915.2607
Nontronite,361.3112,885.7666
Nontronite,361.7933,856.126
Nontronite,362.2754,846.1523
Nontronite,362.7575,839.334
Nontronite,363.2396,817.4092
Nontronite,363.7217,764.8203
Nontronite,364.2039,707.2432
Nontronite,364.686,648.2559
Nontronite,365.1681,588.4932
Nontronite,365.6502,536.2686
Nontronite,366.1323,499.9775
Nontronite,366.6144,468.7402
Nontronite,367.0966,435.2422
Nontronite,367.5787,390.4121
Nontronite,368.0608,348.3135
Nontronite,368.5429,301.5332
Nontronite,369.025,253.3799
Nontronite,369.5071,227.6963
Nontronite,369.9893,250.1123
Nontronite,370.4714,266.377
Nontronite,370.9535,245.3076
Nontronite,371.4356,163.2861
Nontronite,371.9177,99.41016
Nontronite,372.3998,59.37598
Nontronite,372.882,36.98438
Nontronite,373.3641,18.46094
Nontronite,373.8462,1.172852
Nontronite,374.3283,9.580078
Nontronite,374.8104,8.52832
Nontronite,375.2925,5.921875
Nontronite,375.7747,9.701172
Nontronite,376.2568,0.120117
Nontronite,376.7389,15.08789
Nontronite,377.221,21.7998
Nontronite,377.7031,19.26074
Nontronite,378.1852,24.11719
Nontronite,378.6674,50.9043
Nontronite,379.1495,88.73438
Nontronite,379.6316,83.36914
Nontronite,380.1137,30.59473
Nontronite,380.5958,26.73828
Nontronite,381.0779,44.24707
Nontronite,381.5601,29.7832
Nontronite,382.0422,20.9668
Nontronite,382.5243,27.62598
Nontronite,383.0064,42.19141
Nontronite,383.4885,53.90527
